site_id,site_name,region,monitored,unmonitored,weather_only,sensor_gap,spatial_gap
2570,CAMDEN,Sydney South-west,0.5238,0.5222,0.2245,0.0016000000000000458,0.29769999999999996
15,ALEXANDRIA,Sydney East,0.5315,0.4386,0.2599,0.09289999999999998,0.17869999999999997
206,EARLWOOD,Sydney East,0.4825,0.4762,0.3081,0.006299999999999972,0.16810000000000003
107,LIVERPOOL,Sydney South-west,0.5802,0.5299,0.3836,0.05030000000000001,0.14630000000000004
1750,PENRITH,Sydney North-west,0.3038,0.3234,0.214,-0.019600000000000006,0.10940000000000003
171,BRINGELLY,Sydney South-west,0.2511,0.2454,0.1588,0.005699999999999983,0.08660000000000001
2560,CAMPBELLTOWN WEST,Sydney South-west,0.3901,0.3769,0.2917,0.01319999999999999,0.0852
1148,PROSPECT,Sydney North-west,0.3268,0.4054,0.3235,-0.0786,0.08189999999999997
113,MACQUARIE PARK,Sydney East,0.1667,0.1103,0.0712,0.05639999999999999,0.039099999999999996
155,ROUSE HILL,Sydney North-west,0.2875,0.2423,0.2036,0.04519999999999999,0.038699999999999984
1141,LIDCOMBE,Sydney East,0.3239,0.3876,0.3526,-0.06369999999999998,0.034999999999999976
1570,OAKDALE,Sydney South-west,0.2063,0.1336,0.1152,0.07270000000000001,0.0184
33,RANDWICK,Sydney East,0.3932,0.2121,0.2102,0.18109999999999998,0.0019000000000000128
760,ST MARYS,Sydney North-west,0.3061,0.1197,0.1184,0.18639999999999998,0.0012999999999999956
919,PARRAMATTA NORTH,Sydney North-west,0.2649,0.1736,0.1814,0.09130000000000002,-0.007800000000000001
573,RICHMOND,Sydney North-west,0.2197,0.1715,0.1844,0.04819999999999999,-0.012899999999999995
1001,COOK AND PHILLIP,Sydney East,0.3908,0.313,0.3793,0.07779999999999998,-0.06630000000000003
39,ROZELLE,Sydney East,0.4583,0.3077,0.3817,0.1506,-0.07400000000000001
