site_id,site_name,region,monitored,unmonitored,weather_only,sensor_gap,spatial_gap
2560,CAMPBELLTOWN WEST,Sydney South-west,0.5556,0.4949,0.1414,0.060699999999999976,0.35350000000000004
2570,CAMDEN,Sydney South-west,0.6044,0.5165,0.2418,0.08790000000000009,0.27469999999999994
33,RANDWICK,Sydney East,0.5897,0.6282,0.4744,-0.03849999999999998,0.1538
1001,COOK AND PHILLIP,Sydney East,0.425,0.5125,0.4125,-0.08749999999999997,0.09999999999999998
39,ROZELLE,Sydney East,0.514,0.5234,0.4673,-0.009399999999999964,0.05609999999999998
113,MACQUARIE PARK,Sydney East,0.3097,0.4248,0.3805,-0.11510000000000004,0.044300000000000006
171,BRINGELLY,Sydney South-west,0.2627,0.2442,0.2028,0.01849999999999999,0.04139999999999999
1570,OAKDALE,Sydney South-west,0.2626,0.2929,0.2525,-0.030299999999999994,0.04039999999999999
15,ALEXANDRIA,Sydney East,0.5463,0.463,0.4259,0.08329999999999999,0.03710000000000002
107,LIVERPOOL,Sydney South-west,0.2965,0.224,0.1924,0.07249999999999998,0.03160000000000002
1148,PROSPECT,Sydney North-west,0.2069,0.1108,0.0813,0.0961,0.0295
919,PARRAMATTA NORTH,Sydney North-west,0.339,0.3559,0.3475,-0.01689999999999997,0.008400000000000019
155,ROUSE HILL,Sydney North-west,0.3574,0.3004,0.3004,0.056999999999999995,0.0
1750,PENRITH,Sydney North-west,0.2324,0.1588,0.1618,0.0736,-0.0030000000000000027
206,EARLWOOD,Sydney East,0.4059,0.3529,0.3588,0.05299999999999999,-0.005900000000000016
760,ST MARYS,Sydney North-west,0.4167,0.5278,0.537,-0.11110000000000003,-0.009199999999999986
573,RICHMOND,Sydney North-west,0.3248,0.3504,0.3632,-0.02560000000000001,-0.012800000000000034
1141,LIDCOMBE,Sydney East,0.2615,0.2294,0.2798,0.03210000000000002,-0.0504
